Temperature (K)	Pressure (bar)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
169.18	1.0000	71.438	0.013998	2.0958	3.4956	142.99	12.515	20.994	241.85	0.98393	1.3724e-05	0.010753	vapor
169.18	3.5789	258.97	0.0038615	2.0598	3.4418	132.17	12.630	21.554	240.82	0.97764	1.3806e-05	0.010898	vapor
169.18	6.1579	451.49	0.0022149	2.0230	3.3869	127.44	12.749	22.153	239.77	0.97108	1.3894e-05	0.011052	vapor
169.18	8.7368	649.32	0.0015401	1.9853	3.3308	124.31	12.872	22.795	238.73	0.96422	1.3989e-05	0.011218	vapor
169.18	11.316	852.81	0.0011726	1.9466	3.2735	121.92	12.999	23.485	237.68	0.95703	1.4092e-05	0.011396	vapor
169.18	13.895	1062.4	0.00094129	1.9070	3.2149	119.98	13.131	24.227	236.63	0.94946	1.4202e-05	0.011587	vapor
169.18	16.474	1278.4	0.00078222	1.8662	3.1548	118.32	13.268	25.030	235.57	0.94149	1.4322e-05	0.011792	vapor
169.18	19.053	1501.5	0.00066602	1.8244	3.0933	116.85	13.410	25.899	234.51	0.93308	1.4450e-05	0.012014	vapor
169.18	21.632	1732.0	0.00057736	1.7812	3.0302	115.54	13.558	26.844	233.45	0.92417	1.4590e-05	0.012255	vapor
169.18	24.211	1970.7	0.00050743	1.7368	2.9653	114.33	13.712	27.874	232.39	0.91473	1.4740e-05	0.012515	vapor
169.18	26.789	2218.2	0.00045081	1.6909	2.8986	113.20	13.873	29.002	231.34	0.90470	1.4903e-05	0.012798	vapor
169.18	29.368	2475.4	0.00040398	1.6435	2.8299	112.15	14.041	30.240	230.28	0.89403	1.5080e-05	0.013106	vapor
169.18	31.947	2742.9	0.00036457	1.5944	2.7591	111.14	14.216	31.606	229.24	0.88266	1.5271e-05	0.013442	vapor
169.18	34.526	3022.0	0.00033091	1.5435	2.6860	110.18	14.399	33.118	228.19	0.87051	1.5479e-05	0.013810	vapor
169.18	37.105	3313.6	0.00030178	1.4905	2.6103	109.25	14.591	34.801	227.17	0.85753	1.5705e-05	0.014213	vapor
169.18	39.684	3619.2	0.00027630	1.4355	2.5320	108.35	14.793	36.680	226.15	0.84362	1.5951e-05	0.014656	vapor
169.18	42.263	3940.2	0.00025380	1.3780	2.4506	107.47	15.004	38.791	225.16	0.82869	1.6220e-05	0.015145	vapor
169.18	44.842	4278.3	0.00023374	1.3179	2.3661	106.59	15.225	41.173	224.19	0.81266	1.6513e-05	0.015684	vapor
169.18	47.421	4635.5	0.00021572	1.2549	2.2779	105.73	15.458	43.876	223.27	0.79541	1.6835e-05	0.016280	vapor
169.18	50.000	5014.3	0.00019943	1.1888	2.1859	104.87	15.702	46.957	222.39	0.77683	1.7188e-05	0.016941	vapor
