Temperature (K)	Pressure (bar)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
337.69	1.0000	35.733	0.027985	20.977	23.776	125.32	30.631	39.076	284.35	0.80015	1.6786e-05	0.019714	vapor
337.69	3.5789	128.99	0.0077526	20.920	23.694	114.55	30.795	39.591	283.00	0.80024	1.6819e-05	0.019847	vapor
337.69	6.1579	223.88	0.0044666	20.862	23.612	109.86	30.963	40.128	281.65	0.80025	1.6854e-05	0.019986	vapor
337.69	8.7368	320.49	0.0031203	20.803	23.529	106.78	31.134	40.689	280.30	0.80017	1.6892e-05	0.020131	vapor
337.69	11.316	418.86	0.0023874	20.743	23.444	104.45	31.307	41.273	278.94	0.80000	1.6932e-05	0.020282	vapor
337.69	13.895	519.09	0.0019264	20.682	23.358	102.56	31.484	41.884	277.57	0.79974	1.6974e-05	0.020441	vapor
337.69	16.474	621.26	0.0016096	20.620	23.271	100.96	31.663	42.523	276.20	0.79937	1.7019e-05	0.020607	vapor
337.69	19.053	725.45	0.0013785	20.557	23.183	99.562	31.847	43.193	274.82	0.79890	1.7068e-05	0.020781	vapor
337.69	21.632	831.75	0.0012023	20.493	23.093	98.314	32.033	43.894	273.44	0.79830	1.7119e-05	0.020963	vapor
337.69	24.211	940.26	0.0010635	20.427	23.002	97.181	32.223	44.630	272.06	0.79758	1.7174e-05	0.021155	vapor
337.69	26.789	1051.1	0.00095139	20.361	22.910	96.139	32.417	45.404	270.67	0.79672	1.7232e-05	0.021356	vapor
337.69	29.368	1164.4	0.00085884	20.293	22.816	95.170	32.615	46.217	269.28	0.79572	1.7295e-05	0.021567	vapor
337.69	31.947	1280.2	0.00078114	20.225	22.720	94.261	32.816	47.074	267.88	0.79455	1.7361e-05	0.021790	vapor
337.69	34.526	1398.7	0.00071496	20.154	22.623	93.403	33.022	47.978	266.48	0.79322	1.7432e-05	0.022025	vapor
337.69	37.105	1520.0	0.00065789	20.083	22.524	92.586	33.232	48.932	265.08	0.79170	1.7507e-05	0.022272	vapor
337.69	39.684	1644.3	0.00060815	20.010	22.423	91.804	33.446	49.941	263.67	0.78998	1.7588e-05	0.022534	vapor
337.69	42.263	1771.8	0.00056440	19.935	22.320	91.052	33.665	51.009	262.26	0.78804	1.7673e-05	0.022810	vapor
337.69	44.842	1902.6	0.00052561	19.859	22.216	90.327	33.889	52.143	260.85	0.78587	1.7765e-05	0.023103	vapor
337.69	47.421	2036.9	0.00049095	19.781	22.109	89.623	34.118	53.346	259.45	0.78345	1.7863e-05	0.023413	vapor
337.69	50.000	2174.9	0.00045980	19.701	22.000	88.937	34.352	54.627	258.04	0.78076	1.7968e-05	0.023743	vapor
